UNHALTED_CORE_CYCLES,0x53003c
UNC_C_RXC_REQ_Q1_RETRY.PA_MATCH,0x802b
UNC_C_RXC_REQ_Q1_RETRY.SF_VICTIM,0x82b
UNC_C_RXC_REQ_Q1_RETRY.VICTIM,0x102b
UNC_C_RXC_RRQ0_REJECT.AD_REQ_VN0,0x126
UNC_C_RXC_RRQ0_REJECT.AD_RSP_VN0,0x226
UNC_C_RXC_RRQ0_REJECT.AK_NON_UPI,0x4026
UNC_C_RXC_RRQ0_REJECT.BL_NCB_VN0,0x1026
UNC_C_RXC_RRQ0_REJECT.BL_NCS_VN0,0x2026
UNC_C_RXC_RRQ0_REJECT.BL_RSP_VN0,0x426
UNC_C_RXC_RRQ0_REJECT.BL_WB_VN0,0x826
UNC_C_RXC_RRQ0_REJECT.IV_NON_UPI,0x8026
UNC_C_RXC_RRQ1_REJECT.ALLOW_SNP,0x4027
UNC_C_RXC_RRQ1_REJECT.ANY0,0x127
UNC_C_RXC_RRQ1_REJECT.HA,0x227
UNC_C_RXC_RRQ1_REJECT.LLC_OR_SF_WAY,0x2027
UNC_C_RXC_RRQ1_REJECT.LLC_VICTIM,0x427
UNC_C_RXC_RRQ1_REJECT.PA_MATCH,0x8027
UNC_C_RXC_RRQ1_REJECT.SF_VICTIM,0x827
UNC_C_RXC_RRQ1_REJECT.VICTIM,0x1027
UNC_C_RXC_WBQ0_REJECT.AD_REQ_VN0,0x128
UNC_C_RXC_WBQ0_REJECT.AD_RSP_VN0,0x228
UNC_C_RXC_WBQ0_REJECT.AK_NON_UPI,0x4028
UNC_C_RXC_WBQ0_REJECT.BL_NCB_VN0,0x1028
UNC_C_RXC_WBQ0_REJECT.BL_NCS_VN0,0x2028
UNC_C_RXC_WBQ0_REJECT.BL_RSP_VN0,0x428
UNC_C_RXC_WBQ0_REJECT.BL_WB_VN0,0x828
UNC_C_RXC_WBQ0_REJECT.IV_NON_UPI,0x8028
UNC_C_RXC_WBQ1_REJECT.ALLOW_SNP,0x4029
UNC_C_RXC_WBQ1_REJECT.ANY0,0x129
UNC_C_RXC_WBQ1_REJECT.HA,0x229
UNC_C_RXC_WBQ1_REJECT.LLC_OR_SF_WAY,0x2029
UNC_C_RXC_WBQ1_REJECT.LLC_VICTIM,0x429
UNC_C_RXC_WBQ1_REJECT.PA_MATCH,0x8029
UNC_C_RXC_WBQ1_REJECT.SF_VICTIM,0x829
UNC_C_RXC_WBQ1_REJECT.VICTIM,0x1029
UNC_C_RXR_BUSY_STARVED.AD_BNC,0x1b4
UNC_C_RXR_BUSY_STARVED.AD_CRD,0x10b4
UNC_C_RXR_BUSY_STARVED.BL_BNC,0x4b4
UNC_C_RXR_BUSY_STARVED.BL_CRD,0x40b4
UNC_C_RXR_BYPASS.AD_BNC,0x1b2
UNC_C_RXR_BYPASS.AD_CRD,0x10b2
UNC_C_RXR_BYPASS.AK_BNC,0x2b2
UNC_C_RXR_BYPASS.BL_BNC,0x4b2
UNC_C_RXR_BYPASS.BL_CRD,0x40b2
UNC_C_RXR_BYPASS.IV_BNC,0x8b2
